Oeste,2013
Alcobaça,27
Alenquer,34
Arruda dos Vinhos,46
Bombarral,33
Cadaval,26
Caldas da Rainha,36
Lourinhã,42
Nazaré,46
Óbidos,32
Peniche,29
Sobral de Monte Agraço,31
Torres Vedras,39
